date,nadj_trade,adj_trade
01.01.2023,10.8,16.7
01.12.2022,9.7,10.0
01.11.2022,11.9,11.5
01.10.2022,5.0,6.6
01.09.2022,7.9,2.7
01.08.2022,-0.1,0.8
01.07.2022,4.6,3.4
01.06.2022,8.0,6.4
01.05.2022,4.9,4.8
01.04.2022,2.4,4.3
01.03.2022,9.2,4.0
01.02.2022,12.1,10.7
01.01.2022,5.4,12.1
01.12.2021,6.3,6.3
01.11.2021,11.3,10.8
01.10.2021,12.5,12.2
01.09.2021,16.2,11.7
01.08.2021,11.2,13.5
01.07.2021,18.2,16.3
01.06.2021,16.2,13.3
01.05.2021,13.1,15.4
01.04.2021,16.0,16.3
01.03.2021,21.7,15.7
01.02.2021,18.0,17.4
01.01.2021,14.6,22.3
01.12.2020,15.1,16.9
01.11.2020,16.8,16.2
01.10.2020,19.6,17.7
01.09.2020,20.0,15.9
01.08.2020,11.9,15.3
01.07.2020,19.7,16.8
01.06.2020,15.3,14.2
01.05.2020,7.3,8.8
01.04.2020,3.7,3.7
01.03.2020,17.1,13.4
01.02.2020,20.3,20.5
01.01.2020,13.6,18.5
01.12.2019,15.1,19.8
01.11.2019,18.5,18.9
01.10.2019,21.3,19.5
01.09.2019,21.2,18.6
01.08.2019,16.5,19.3
01.07.2019,21.3,18.2
01.06.2019,16.6,18.4
01.05.2019,20.7,19.5
01.04.2019,17.8,17.7
01.03.2019,22.4,20.4
01.02.2019,17.7,17.6
01.01.2019,14.7,19.0
01.12.2018,14.1,19.9
01.11.2018,20.2,18.9
01.10.2018,18.7,17.2
01.09.2018,18.2,17.3
01.08.2018,17.6,19.0
01.07.2018,16.4,14.8
01.06.2018,21.9,19.5
01.05.2018,20.0,21.3
01.04.2018,20.5,20.2
01.03.2018,25.0,22.3
01.02.2018,18.6,19.4
01.01.2018,17.5,21.7
