date,Non-adjusted value,Calendar- and seasonally adjusted (BV4.1)
01.01.2010,3610,3386
01.02.2010,3635,3380
01.03.2010,3560,3348
01.04.2010,3400,3290
01.05.2010,3236,3256
01.06.2010,3149,3228
01.07.2010,3187,3208
01.08.2010,3183,3187
01.09.2010,3027,3160
01.10.2010,2941,3143
01.11.2010,2927,3126
01.12.2010,3012,3117
01.01.2011,3346,3104
01.02.2011,3313,3057
01.03.2011,3211,3028
01.04.2011,3079,3001
01.05.2011,2961,2994
01.06.2011,2894,2979
01.07.2011,2940,2961
01.08.2011,2946,2944
01.09.2011,2796,2925
01.10.2011,2738,2914
01.11.2011,2714,2895
01.12.2011,2781,2876
01.01.2012,3085,2863
01.02.2012,3110,2874
01.03.2012,3028,2870
01.04.2012,2964,2887
01.05.2012,2855,2881
01.06.2012,2809,2891
01.07.2012,2876,2899
01.08.2012,2905,2903
01.09.2012,2788,2904
01.10.2012,2753,2912
01.11.2012,2751,2915
01.12.2012,2840,2925
01.01.2013,3138,2933
01.02.2013,3156,2937
01.03.2013,3098,2951
01.04.2013,3020,2958
01.05.2013,2937,2959
01.06.2013,2865,2947
01.07.2013,2914,2945
01.08.2013,2946,2945
01.09.2013,2849,2947
01.10.2013,2801,2948
01.11.2013,2806,2952
01.12.2013,2874,2949
01.01.2014,3136,2935
01.02.2014,3138,2932
01.03.2014,3055,2923
01.04.2014,2943,2905
01.05.2014,2882,2912
01.06.2014,2833,2913
01.07.2014,2871,2898
01.08.2014,2902,2893
01.09.2014,2808,2884
01.10.2014,2733,2865
01.11.2014,2717,2851
01.12.2014,2764,2837
01.01.2015,3032,2838
01.02.2015,3017,2826
01.03.2015,2932,2813
01.04.2015,2843,2814
01.05.2015,2762,2801
01.06.2015,2711,2793
01.07.2015,2773,2794
01.08.2015,2796,2782
01.09.2015,2708,2771
01.10.2015,2649,2768
01.11.2015,2633,2755
01.12.2015,2681,2749
01.01.2016,2920,2740
01.02.2016,2911,2733
01.03.2016,2845,2738
01.04.2016,2744,2723
01.05.2016,2664,2711
01.06.2016,2614,2694
01.07.2016,2661,2680
01.08.2016,2684,2667
01.09.2016,2608,2662
01.10.2016,2540,2644
01.11.2016,2532,2636
01.12.2016,2568,2626
01.01.2017,2777,2611
01.02.2017,2762,2600
01.03.2017,2662,2576
01.04.2017,2569,2561
01.05.2017,2498,2549
01.06.2017,2473,2545
01.07.2017,2518,2529
01.08.2017,2545,2515
01.09.2017,2449,2495
01.10.2017,2389,2480
01.11.2017,2368,2462
01.12.2017,2385,2441
01.01.2018,2570,2420
01.02.2018,2546,2407
01.03.2018,2458,2393
01.04.2018,2384,2384
01.05.2018,2315,2352
01.06.2018,2276,2330
01.07.2018,2325,2317
01.08.2018,2351,2302
01.09.2018,2256,2294
01.10.2018,2204,2287
01.11.2018,2186,2289
01.12.2018,2210,2288
01.01.2019,2406,2296
01.02.2019,2373,2301
01.03.2019,2301,2247
01.04.2019,2229,2229
01.05.2019,2236,2240
01.06.2019,2216,2207
01.07.2019,2275,2219
01.08.2019,2319,2232
01.09.2019,2234,2253
01.10.2019,2204,2287
01.11.2019,2180,2312
01.12.2019,2227,2346
01.01.2020,2426,2369
01.02.2020,2396,2382
01.03.2020,2335,2284
01.04.2020,2644,2628
01.05.2020,2813,2801
01.06.2020,2853,2800
01.07.2020,2910,2833
01.08.2020,2955,2858
01.09.2020,2847,2860
01.10.2020,2760,2850
01.11.2020,2699,2843
01.12.2020,2707,2832
01.01.2021,2901,2844
01.02.2021,2904,2861
01.03.2021,2827,2786
01.04.2021,2771,2757
01.05.2021,2687,2703
01.06.2021,2614,2594
01.07.2021,2590,2534
01.08.2021,2578,2494
01.09.2021,2465,2474
01.10.2021,2377,2453
01.11.2021,2317,2432
01.12.2021,2330,2419
01.01.2022,2462,2383
01.02.2022,2428,2358
01.03.2022,2362,2330
01.04.2022,2309,2310
01.05.2022,2260,2299
01.06.2022,2363,2370
01.07.2022,2470,2424
01.08.2022,2547,2466
01.09.2022,2486,2489
01.10.2022,2442,2506
01.11.2022,2434,2529
01.12.2022,2454,2529
01.01.2023,2616,2539
01.02.2023,2620,2565
