"","month","year","demand","hdd","wind","date","natgas_idx"
"1","01","2020",-3336962.46083333,-29.4220539320503,4.14790060260481,2020-01-01,97
"2","01","2021",2891090.31741667,21.4328382208194,4.08278586701965,2021-01-01,98.9
"3","01","2022",153709.835616665,4.08394435393542,3.98835779500681,2022-01-01,130.7
"4","02","2020",-1140429.033,-9.93777958795775,5.48018760818654,2020-02-01,97.1
"5","02","2021",3605619.156,33.9813902182397,3.25464820283067,2021-02-01,99.1
"6","02","2022",-1998900.9036,-21.5565573770492,5.68120176153141,2022-02-01,134.5
"7","03","2020",693431.339595238,5.65963835997699,4.13545718358619,2020-03-01,97.2
"8","03","2021",1287082.24445238,-1.18520505137184,3.24979259173997,2021-03-01,99.3
"9","03","2022",-1903884.92621905,1.9791172463282,2.79419544631513,2022-03-01,140.8
"10","04","2020",-4425638.07038278,-38.7005281349341,3.44981875572752,2020-04-01,97.2
"11","04","2021",5010005.37455128,40.729246227248,3.45281183178902,2021-04-01,99.2
"12","04","2022",-1749678.93388278,-14.2093987038315,3.92611589558358,2022-04-01,146.3
"13","05","2020",1681133.82107692,19.6582728271966,2.99378614033301,2020-05-01,97.2
"14","05","2021",4619155.78591209,30.3913610123032,3.88118996707735,2021-05-01,99.3
"15","05","2022",-4991562.96031868,-38.6834371047612,3.07295106210695,2022-05-01,154.1
"16","06","2020",1011177.3996,5.61749142992911,2.91287917357055,2020-06-01,97.1
"17","06","2021",-939131.98045641,-8.11485380620807,2.48868912626931,2021-06-01,99.4
"18","06","2022",-587651.762061539,-2.18951206075938,2.76653599429793,2022-06-01,159.7
"19","07","2020",778527.008066667,-1.27522316125315,2.90818742446311,2020-07-01,95.1
"20","07","2021",73704.2458666667,4.16738892848661,2.74359489405819,2021-07-01,99.6
"21","07","2022",-716341.931066667,-2.42613990428671,2.98795898972561,2022-07-01,174.4
"22","08","2020",-458044.460933333,-11.8232355836133,2.93040229634263,2020-08-01,95.3
"23","08","2021",1630736.48446667,-1.53149916844859,2.97893498162565,2021-08-01,100
"24","08","2022",-1266071.8648,10.300080100465,2.54460229410801,2022-08-01,183.8
"25","09","2020",-1135250.07148095,-25.4091864372263,2.55223917208949,2020-09-01,95.1
"26","09","2021",880873.284295238,-18.4820194820622,2.49457470540863,2021-09-01,100.5
"27","09","2022",367436.438561905,47.7126867596646,2.77703148258591,2022-09-01,196.1
"28","10","2020",2268589.58786667,2.48587720191419,3.77208903000065,2020-10-01,95.1
"29","10","2021",3522928.16035714,21.3611937005737,3.46500404866152,2021-10-01,102.1
"30","10","2022",-5994382.79286667,-30.9491440111326,2.78845113241305,2022-10-01,214.2
"31","11","2020",-1193142.138,-19.8207412687099,3.1516291619998,2020-11-01,94.8
"32","11","2021",6750258.2214,41.6356721990294,3.05450009719432,2021-11-01,103.9
"33","11","2022",-5749738.18186667,-18.3656698231681,3.46668201719877,2022-11-01,220.5
"34","12","2020",-562761.408515153,-14.6636355922528,3.24869582187829,2020-12-01,94.9
"35","12","2021",1864355.21447879,-5.09888075336423,3.525008522111,2021-12-01,106.4
"36","12","2022",-940240.03929697,22.6485021583313,3.24421332324805,2022-12-01,134.2
